tconst,primaryTitle,averageRating,numVotes,startYear,genres
tt0099422,Dick Tracy,6.2,64605,1990,"Action,Comedy,Crime"
tt0099423,Die Hard 2,7.1,374515,1990,"Action,Thriller"
tt0099426,Bullet in the Head,7.5,11384,1990,"Action,Crime,Drama"
tt0099429,Dil,6.6,5585,1990,"Comedy,Drama,Romance"
tt0099436,La discrète,7.0,1045,1990,"Drama,Romance"
tt0099441,Disturbed,5.1,1879,1990,"Horror,Thriller"
tt0099450,The Boyfriend School,5.7,3173,1990,"Comedy,Romance"
tt0099460,Downtown,5.7,2113,1990,"Action,Comedy,Crime"
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,6.8,28194,1990,"Adventure,Animation,Comedy"
tt0099479,Døden på Oslo S,6.1,1460,1990,"Action,Crime,Drama"
tt0099484,The Ages of Lulu,5.5,4142,1990,Drama
tt0099487,Edward Scissorhands,7.9,511392,1990,"Drama,Fantasy,Romance"
tt0099512,Ernest Goes to Jail,5.4,9915,1990,"Comedy,Crime,Family"
tt0099520,Everybody Wins,5.1,1303,1990,"Drama,Mystery,Thriller"
tt0099524,Evil Toons,4.1,3491,1992,"Animation,Comedy,Fantasy"
tt0099528,The Exorcist III,6.5,36686,1990,"Drama,Horror,Mystery"
tt0099545,Fantozzi alla riscossa,5.8,1572,1990,Comedy
tt0099546,Far Out Man,4.9,1187,1990,Comedy
tt0099558,Operation Condor,7.2,22074,1991,"Action,Adventure,Comedy"
tt0099564,"Fire, Ice & Dynamite",3.9,1074,1990,"Action,Comedy,Sport"
tt0099566,The Field,7.3,6570,1990,"Drama,Thriller"
tt0099575,Fire Birds,4.7,7002,1990,"Action,Adventure"
tt0099578,The First Power,5.6,4718,1990,"Crime,Horror,Thriller"
tt0099581,Flashback,6.2,5684,1990,"Action,Adventure,Comedy"
tt0099582,Flatliners,6.5,91279,1990,"Drama,Horror,Sci-Fi"
tt0099587,Flight of the Intruder,5.8,7512,1991,"Action,Drama,Thriller"
tt0099595,The Forbidden Dance,3.9,1849,1990,"Drama,Music,Romance"
tt0099606,The Fourth War,5.6,1817,1990,"Drama,Thriller"
